"horas","acuracia_total_treino","acuracia_total_teste","acuracia_nevoa","acuracia_neblina","acuracia_visivel","runtime_sec"
2,1,1,1,1,1,14.195
3,1,1,1,1,1,12.732
4,1,1,1,1,1,14.187
5,1,1,1,1,1,16.349
2,0.88886286450404,0.880604356105989,0.528615389261407,0.755754492816608,0.758927012592559,41.211
3,0.888508948415234,0.853753893884552,0.557129594671756,0.679871030393542,0.684398150324869,47.883
4,0.889492711311398,0.883995459704881,0.530811708122575,0.753011748243548,0.756104396379526,50.614
5,0.889843985641672,0.859892292751832,0.568111186257994,0.695966252464907,0.700381277932755,60.446
6,0.890848671375142,0.842538056981422,0.559370179228102,0.652971369584604,0.657158412660911,70.346
7,0.890286355377533,0.885228533952174,0.568149129482187,0.774228439962181,0.777898423077132,77.689
8,0.88932602265751,0.853658228965656,0.576966024800213,0.65746534468474,0.661544834137773,80.6569999999999
9,0.889885515841485,0.864921109387415,0.576978673421513,0.695647509560282,0.699126366754863,87.246
10,0.890541415380702,0.886411220139747,0.559382824169737,0.774379250438516,0.777838482903973,98.6969999999999
11,0.890936926887358,0.864768054889892,0.559389148560382,0.700768868662021,0.70449612362975,101.703
12,0.890234485235125,0.85844737339976,0.555021808000662,0.689726024649252,0.692469499255239,108.494
13,0.890351372750101,0.859732102315726,0.561610763304166,0.682640170237562,0.68661201834955,116.29
14,0.891074956101397,0.844420059532819,0.552768567863738,0.645289661592817,0.648294959531568,130.915
15,0.888615366412404,0.887088026436941,0.559382820809785,0.776904064722293,0.780230750612749,138.503
16,0.890184757523462,0.870638984889382,0.565876904413561,0.724610862255729,0.728712666891349,138.219
17,0.890463343732908,0.886783885371207,0.561572813440261,0.773866496253411,0.777232180461445,152.645
18,0.889690342682652,0.870031911807369,0.550597545045048,0.728874472457717,0.73256321249071,154.16
19,0.890299475155179,0.888105449041372,0.548369601590546,0.776320864260029,0.77944989602478,170.928
20,0.891210538953623,0.864177598385469,0.557224448372366,0.69506859544688,0.698831269695681,171.181
21,0.891046538687245,0.851991069513995,0.561591784451923,0.651449313396586,0.654508082347853,174.582
22,0.891468136454126,0.870544161053508,0.55939546527065,0.71334229787159,0.716979426521232,185.88
23,0.89062232049415,0.869484598501476,0.570389706037651,0.712164917824238,0.715751173307613,194.525
24,0.890622246408802,0.862192060749019,0.554977527745502,0.684919944003272,0.688564948554539,204.076
