"kfolds","hrs","ntrees","acuracia_total_treino","acuracia_total_teste","bal_acc_nevoa","bal_acc_visBaixa","bal_acc_visMedia","bal_acc_visCompleta","runtime_sec"
8,1,1,0.807279768659136,0.816773735860955,0.569629265784666,0.741005463219904,0.504017693044745,0.647241722137001,44.145
8,1,21,0.8477667874679,0.849761557561187,0.592964037495754,0.780292981716592,0.67509044433809,0.792397975346074,304.199
8,1,41,0.850969128752472,0.852047452015922,0.616200112009842,0.779877787781458,0.678263955272994,0.79481966289092,585.071
8,1,61,0.851826320921052,0.851022740708627,0.616180372570442,0.777579974106574,0.675932179644582,0.795073805735183,858.073
8,1,81,0.852860908134523,0.853545107003508,0.616200112009842,0.781494945828615,0.682285458340097,0.798386383739567,1110.662
8,1,101,0.852939715772651,0.85287510345643,0.616180372570442,0.779496421319125,0.680998642513502,0.798094490269897,1382.665
8,1,121,0.853264882029981,0.853781578843653,0.616200112009842,0.781070136992591,0.682262877840616,0.799210957478801,1655.689
8,1,141,0.853126935462615,0.85413628660387,0.616180372570442,0.781646994136534,0.683743123958273,0.799668136497549,1915.592
8,1,161,0.853323999213702,0.853229811216648,0.616180372570442,0.779370901648496,0.680889004750853,0.79863959958075,2181.585
8,1,181,0.853461945780824,0.853584518976865,0.616180372570442,0.780051557276223,0.68160178652997,0.798360135152369,2444.609
8,1,201,0.853639311311842,0.85397863871044,0.616180372570442,0.781876312290947,0.680437667405042,0.798372100692119,2756.262
8,3,1,0.779154112003004,0.781727889011509,0.499881586737715,0.537138360783717,0.505624666854615,0.531337875675845,30.7250000000004
8,3,21,0.80962089410324,0.810775658205896,0.553975111879197,0.67439242062826,0.587628762559495,0.685715648317115,318.308000000001
8,3,41,0.814311163607679,0.814874664985023,0.526987555939599,0.675338021496904,0.587256553794673,0.68436905607097,596.921
8,3,61,0.815828610802081,0.819919596405486,0.540461598365684,0.69175975085468,0.596552632256706,0.694248217272653,925.815000000001
8,3,81,0.816065074873259,0.818067160649535,0.526967820395884,0.685858497954921,0.582466101379216,0.681501808151245,1168.229
8,3,101,0.816784377175566,0.819959009932209,0.540481333909398,0.689833393352411,0.595188920740028,0.690918592792821,1538.538
8,3,121,0.81681396217665,0.820156077565821,0.540461598365684,0.689371470996585,0.594529557325381,0.692611045431131,1828.4
8,3,141,0.817070145441659,0.820826107520101,0.540481333909398,0.688377314754971,0.594252319427728,0.692817002848794,2113.089
8,3,161,0.817267206085282,0.819052498817594,0.526967820395884,0.683709535823743,0.584057064613763,0.68196347615788,2299.181
8,3,181,0.817631784315418,0.821417310420936,0.540501069453112,0.69073548190707,0.595226374444604,0.692726993847894,2737.971
8,3,201,0.817513563152159,0.819761942298597,0.526987555939599,0.685173970970186,0.584141975007715,0.682201468368061,2859.94
8,5,1,0.772848660019678,0.777383626975681,0.5,0.506946146120154,0.502033552431778,0.507429288251666,31.9019999999982
8,5,21,0.802459558031511,0.805841314887076,0.576883601161195,0.638550149338185,0.582555175141027,0.649062728240906,336.561999999998
8,5,41,0.806529184116741,0.810768199913287,0.576883601161195,0.643391638314495,0.580667301090547,0.647479647965193,646.618999999999
8,5,61,0.807898843010894,0.81289661424461,0.60252462680222,0.643266663220678,0.58172561417011,0.647179733442567,951.291999999998
8,5,81,0.808844815814807,0.813014859485239,0.589704113981708,0.643244921254335,0.580278585920337,0.646846987386814,1260.103
8,5,101,0.809288231972003,0.813645500768594,0.564063088340682,0.644864615321606,0.579435338986028,0.647391592387051,1564.949
8,5,121,0.809298079916387,0.814552047613417,0.564063088340682,0.646788696917685,0.579730266918689,0.647084155098254,1880.867
8,5,141,0.809751377422689,0.81415789681132,0.551242575520169,0.645800847837777,0.578390831613232,0.646383965410961,2207.631
8,5,161,0.810076510278602,0.814670292854046,0.564063088340682,0.644196091069203,0.580335773947499,0.6467898387036,2462.077
