"ntrees","RMSE_treino","Rsquared_treino","MAE_treino","RMSE_teste","Rsquared_teste","MAE_teste","runtime_sec"
1,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1086.825
1,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1081.876
11,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1076.784
21,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1056.915
31,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1058.156
41,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1056.958
51,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1055.319
61,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1076.857
71,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1072.332
81,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1065.189
91,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1057.877
101,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1066.107
111,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1046.266
121,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1060.049
131,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1048.222
141,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1050.851
151,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1053.564
161,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1065.172
171,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1062.633
181,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1051.663
191,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1050.204
201,1112.9714541753,0.541993541768194,596.581830057968,1086.93937563348,0.561782690881789,577.389927412845,1053.653
