"clusters","hrs","ntrees","acuracia_total_treino","acuracia_total_teste","bal_acc_nevoa","bal_acc_visBaixa","bal_acc_visMedia","bal_acc_visCompleta","runtime_sec"
2,1,1,0.779772517675991,0.780104926633331,0.596801177712987,0.695101311858834,0.627693549510266,0.759542175460103,9.89
2,1,21,0.842278922020699,0.843798672022297,0.621784533621066,0.755130707420203,0.659518424016149,0.78878101517226,32.827
2,1,41,0.84521979711036,0.846995655381589,0.604383805107249,0.762733595948712,0.665306071614836,0.791754232869515,60.257
2,1,61,0.846019059329849,0.848266251332076,0.598631549545827,0.765945378948216,0.665513076273694,0.792778907692798,89.556
2,1,81,0.846900297161594,0.849208951553406,0.604507200961149,0.767087726924591,0.66701827305999,0.793325827469273,117.102
2,1,101,0.847576595962701,0.849905729977867,0.604486634985499,0.768273656953453,0.66732162746395,0.794401338518118,143.839
2,1,121,0.847443385592786,0.849372899417985,0.604466069009849,0.767870863370276,0.666569939049185,0.793811363672547,167.546
2,1,141,0.847812275847935,0.849741782113288,0.604466069009849,0.767770494821694,0.667464787114027,0.794582723046552,191.256
2,1,161,0.848078696587765,0.849987703910157,0.604486634985499,0.769001326291892,0.667746556522266,0.795318808507928,216.569
2,1,181,0.847771288041808,0.849208951553406,0.604466069009849,0.768821720526547,0.665346511671128,0.794616613863593,245.611
2,3,1,0.720129503003404,0.733942697872689,0.556282841336295,0.628061949525988,0.582905777728085,0.680107084870328,6.00700000000006
2,3,21,0.805365416218737,0.813706603270894,0.558400440020506,0.656345070059413,0.587899770010835,0.680456351602228,33.306
2,3,41,0.809874162676392,0.817600524654671,0.545351749401914,0.665427128683416,0.582574738649032,0.676701573365288,61.915
2,3,61,0.810765665520412,0.819895888838792,0.551865815105947,0.66317526067644,0.584627204428219,0.678068929797387,89.799
2,3,81,0.811216546088421,0.821084559576997,0.558359321599453,0.668792130021307,0.58312455478454,0.67776402269532,118.034
2,3,101,0.811329266755445,0.820346763946387,0.551865815105947,0.665629085419795,0.583799481455626,0.676853468901939,146.458
2,3,121,0.811595692115465,0.820633684469402,0.558359321599453,0.663793141131208,0.583693381395071,0.675099006330216,175.071
2,3,141,0.812384725444166,0.821207525515432,0.558379880809979,0.665234020484896,0.584480812808989,0.67587950758237,201.434
2,3,161,0.812056809554592,0.820551707177112,0.558359321599453,0.664661019304878,0.581337491835596,0.675139826841803,249.651
2,3,181,0.812015823428533,0.822232241669058,0.577860400290499,0.668579743893183,0.590686769852518,0.684361537337466,313.562
2,5,1,0.6991310050828,0.712083948188228,0.5275800367072,0.58719760318383,0.566594199545519,0.631295046501052,4.99200000000019
2,5,21,0.79567347106083,0.814477783243155,0.524406897854227,0.630684612976792,0.584998028362094,0.653574539476157,40.8710000000001
2,5,41,0.799967207738974,0.816650270536153,0.524448060281164,0.622725036891294,0.570681343907041,0.636057031341103,62.4860000000003
2,5,61,0.801391621577308,0.817961960977209,0.519566680710318,0.620399767473058,0.571566547037865,0.632707778165872,99.009
2,5,81,0.802303656337104,0.818494835218888,0.539153942634105,0.626548316415508,0.579058929981557,0.643424303989738,144.557
2,5,101,0.80278529267093,0.81824889326119,0.539133361420636,0.626816616732996,0.576741365598872,0.6416576925538,178.232
2,5,121,0.802826282997213,0.818043941629775,0.514664719926004,0.618946474086661,0.569637526256725,0.629703399252132,179.921
2,5,141,0.803010739465486,0.817879980324643,0.514664719926004,0.618163931493986,0.568962866342018,0.630248523578859,206.384
2,5,161,0.803594851615019,0.818986719134284,0.539133361420636,0.627263783928811,0.57624559591262,0.642299595478021,279.511
2,5,181,0.803676832267585,0.818740777176586,0.539133361420636,0.627643876045253,0.575199108733225,0.64224785974415,311.671
2,7,1,0.695248828739198,0.709407665505226,0.541405946499381,0.556287917635072,0.536870605547426,0.575599186011685,4.72999999999956
2,7,21,0.796060582720681,0.810125025620004,0.521381929714179,0.617504804102855,0.568016113380301,0.625382466323886,41.6329999999998
2,7,41,0.799555216395835,0.814593154334905,0.526758273800201,0.620658086246688,0.567965571912606,0.623386263687822,78.4120000000003
2,7,61,0.800385330575058,0.816109858577577,0.532134617886222,0.6202838582884,0.567001199232612,0.624071583078116,114.104
2,7,81,0.800426317960479,0.816724738675958,0.526758273800201,0.618384045568867,0.566686662255927,0.622532482928387,148.497
2,7,101,0.80087724179552,0.817134658741545,0.526758273800201,0.61799372377352,0.566228458368662,0.621216022296737,182.378000000001
2,7,121,0.801235928574562,0.816314818610371,0.521381929714179,0.615144004694221,0.566639985631581,0.619101499041247,218.266
2,7,141,0.801389652800191,0.817134658741545,0.521402504152497,0.615144004694221,0.567546542768796,0.620395300592933,251.047
2,7,161,0.801266674679998,0.817257634761222,0.521402504152497,0.614552232455683,0.567186617448882,0.619359492397704,287.322999999999
2,7,181,0.801553616625393,0.817052674728428,0.521402504152497,0.61223028023995,0.567349985634094,0.61887743604866,324.77
2,9,1,0.682426217388721,0.705981224121674,0.540335570179049,0.593759352623629,0.568773841890053,0.627075523400612,5.29599999999937
2,9,21,0.795830736077711,0.813840036075923,0.520805697674922,0.614769617346582,0.581657144131656,0.631968708045258,42.7510000000002
2,9,41,0.799653592337379,0.816135776657238,0.531393746940402,0.614561849249692,0.575948140387473,0.625246012880714,78.4840000000004
2,9,61,0.800463264501967,0.81793957282827,0.531414324765738,0.614276954785746,0.576429377813643,0.62534534630701,115.01
2,9,81,0.80085272196434,0.818349526503505,0.531476058241744,0.612124441901852,0.576369108439262,0.624548905447388,149.25
2,9,101,0.801488160455497,0.818103554298364,0.531455480416409,0.613367521397404,0.57555268388739,0.623709653522739,183.62
2,9,121,0.802031344874003,0.817980568195794,0.531455480416409,0.610926115147404,0.575935286580758,0.623351087418279,221.035
2,9,141,0.802338817693633,0.81888246628131,0.531455480416409,0.61325763899572,0.576766007953644,0.62380583020936,259.689
2,9,161,0.802420798554903,0.819005452383881,0.531455480416409,0.613701167504615,0.575734935024831,0.624573368913117,294.616
2,9,181,0.802236321291629,0.819497396794162,0.531455480416409,0.61545490462072,0.577531213340379,0.624931935017576,329.674
2,11,1,0.690648096612572,0.714525849698659,0.537453568809706,0.598939828547215,0.586044451288792,0.647225626711627,6.43399999999929
2,11,21,0.800403854710926,0.817965643065065,0.5616948806174,0.622218100346462,0.595830226259165,0.647120227587151,42.9349999999995
2,11,41,0.803007327375557,0.820835554097823,0.550479499999538,0.620821523900585,0.593682842702069,0.643734970980952,78.8530000000001
2,11,61,0.803417316767157,0.820753556639744,0.556035754212674,0.617376890436231,0.592431977037213,0.639901165046078,114.608
2,11,81,0.803981067782061,0.819974580787996,0.55607690308931,0.617242433641681,0.589432609681055,0.637445407310401,150.036
2,11,101,0.804063069862792,0.820712557910705,0.55607690308931,0.620419759582542,0.589899048925934,0.637454373313093,186.969
2,11,121,0.804063068181828,0.821204542659178,0.550438351122902,0.619787896724075,0.591992861711939,0.638487252836113,226.906
2,11,141,0.804257812985247,0.820794555368784,0.54484094803313,0.61849575765854,0.592084084034535,0.638616988253609,257.969999999999
2,11,161,0.804483310617617,0.820097576975114,0.53922297050504,0.615917483410312,0.591177238510395,0.636447599361003,297.92
2,11,181,0.804339814645738,0.820753556639744,0.53922297050504,0.617713032422606,0.591433909190477,0.637324637895596,330.297999999999
2,13,1,0.689868026148185,0.711497457766115,0.591648816050306,0.613104758249023,0.581711625199683,0.640795288722118,6.02599999999984
2,13,21,0.803397141650113,0.823314744956536,0.564458999252089,0.63891747473732,0.59793432693747,0.65555451323744,42.4670000000006
2,13,41,0.805426844774911,0.826390027882565,0.546914808387248,0.64222363374369,0.59789370362776,0.651703668959767,78.9150000000009
2,13,61,0.806185418346597,0.827005084467771,0.558720661453076,0.641561944975034,0.597592111207821,0.650450020846362,115.761999999999
2,13,81,0.80683122292757,0.827169099557159,0.546955955570724,0.641411907351387,0.596821717512743,0.648891755263706,153.079
2,13,101,0.806995236335718,0.826964080695424,0.558741235044814,0.636814815491804,0.597453556431214,0.648260892224307,186.223
2,13,121,0.807190006145921,0.826800065606036,0.564623587985991,0.637920981200362,0.594323537318936,0.646362049197415,223.803
2,13,141,0.807374513033704,0.826513039199606,0.558761808636552,0.637038729508821,0.594393336108723,0.645514644569523,260.52
2,13,161,0.80730275832354,0.826595046744301,0.552858882103638,0.637416032243618,0.593808898719249,0.645741088180113,292.815000000001
2,13,181,0.807764054755748,0.826554042971953,0.552879455695375,0.637924332294494,0.592594708017239,0.644551282051282,330.166999999999
