"ntrees","horas","RMSE_treino","Rsquared_treino","MAE_treino","RMSE_teste","Rsquared_teste","MAE_teste","runtime_sec"
101,7,1412.67968692626,0.328929235517812,894.8876130824,1375.87593986105,0.350115608194339,869.450922891745,692.107
121,7,1411.20026239023,0.330565332194418,894.495748494947,1375.28595812593,0.350898801685388,869.589484106237,832.631000000001
141,7,1410.21429625621,0.33164877245404,894.163128075423,1374.0495617119,0.352347215951359,869.427324775242,977.114999999998
161,7,1409.52989012031,0.332411657155818,893.943219045181,1374.19157967077,0.352231160135385,869.74626830646,1120.186
181,7,1409.03172101452,0.332987642303535,893.953988554614,1373.40888804412,0.353097484173856,869.336766173205,1240.909
201,7,1408.64920776481,0.333450082154402,894.074406038544,1373.04792472514,0.353546210366053,869.394249232412,1384.065
1,9,1675.05637228827,0.0760121225788522,1085.90439558602,1673.84991791062,0.0712545991019138,1060.54389473773,16.6520000000019
21,9,1446.3465030325,0.294654899530601,911.682890227609,1413.54349768439,0.311170054113778,885.519830164799,171.233
41,9,1428.57522657568,0.31246804452805,908.450727292435,1395.99149649767,0.32945804876689,879.563780008735,325.226000000002
61,9,1422.8527626159,0.31866510849708,907.515030786779,1389.37577745859,0.33686196852727,878.574148704267,465.735000000001
81,9,1420.25517068087,0.321581403072972,907.113666926699,1386.35609013315,0.340264644076904,877.203553585775,629.022000000001
101,9,1418.47323790787,0.32358388007181,907.02462555175,1384.80000675801,0.342149846458207,877.364301228515,772.558000000001
121,9,1417.74927283523,0.324439494978198,907.168979578288,1383.59379160843,0.343598706129454,877.114064201845,927.132999999998
141,9,1416.62325005666,0.325700142904652,906.529694143351,1382.91194230488,0.344410760414258,876.757269636327,1088.693
161,9,1415.80013398717,0.326628728045881,906.285785737897,1382.8155591432,0.344552908145127,876.948577111524,1232.902
181,9,1415.36321108762,0.327141928181948,906.185051736026,1382.36435309878,0.34508209178484,877.03064624109,1389.608
201,9,1414.82560616727,0.327749823595097,905.903615107411,1382.28527654059,0.345256976647657,876.961807669704,1543.588
1,11,1692.79296932174,0.0590114559275496,1104.35038826856,1684.18189824157,0.0625159744114228,1099.52606460537,16.7839999999997
21,11,1472.85278954695,0.264594214433118,936.304800125937,1444.28536939014,0.294825058194587,916.009786201343,153.610999999997
41,11,1456.06457168996,0.281395675866911,928.064895842346,1419.51514616697,0.320059861996225,899.891402641708,328.038
61,11,1449.32804311565,0.288324685411669,927.112294462717,1415.00872659017,0.325314961429281,900.180748834832,483.843000000001
81,11,1446.7426055817,0.291103048312057,927.066860566497,1412.75249867872,0.327930185446794,900.406932317819,632.618000000002
101,11,1444.69738615656,0.293278572491696,926.400857246742,1412.14336082137,0.328744599375941,900.097955254908,790.896999999997
121,11,1443.01028282243,0.295072803267193,925.806127576333,1410.51046298297,0.330650400149608,899.232753160726,952.232000000004
141,11,1442.01082881772,0.297576387809778,930.684561349175,1412.10610450014,0.33193316243183,906.919313836566,977.678999999996
161,11,1441.45419155881,0.298243037001953,930.613175374175,1411.1832007555,0.333025362147448,906.368602363289,1130.63
181,11,1440.91698685672,0.298880884323447,930.457275197376,1410.73851195354,0.33359673732712,906.392081111154,1267.12
