"porcentagem","horas","ntrees","acuracia_total_treino","acuracia_total_teste","acuracia_nevoa","acuracia_visivel","sens_nevoa","sens_visivel","spec_nevoa","spec_visivel","ppv_nevoa","ppv_visivel","npv_nevoa","npv_visivel","bal_acc_nevoa","bal_acc_visivel","runtime_sec"
0.15,1,1,0.992348726174102,0.992882630919086,0.0518134715025907,0.0518134715025907,0.0518134715025907,0.996398977774336,0.996398977774336,0.0518134715025907,0.0510204081632654,0.996456852988441,0.996456852988441,0.0510204081632654,0.524106224638463,0.524106224638463,3.513
0.15,1,21,0.995463988040568,0.996132703250072,0.038860103626943,0.038860103626943,0.038860103626943,0.999709594981801,0.999709594981801,0.038860103626943,0.333333333333291,0.996420473732452,0.996420473732452,0.333333333333291,0.519284849304372,0.519284849304372,3.373
0.15,1,41,0.995409343231825,0.996296653486354,0.00518134715025907,0.00518134715025907,0.00518134715025907,1,1,0.00518134715025907,1,0.996296582053854,0.996296582053854,1,0.50259067357513,0.50259067357513,5.078
0.15,1,61,0.995409343231825,0.996277365223262,0,0,0,1,1,0,NA,0.996277365223262,0.996277365223262,NA,0.5,0.5,7.192
0.15,1,81,0.995409343231825,0.996277365223262,0,0,0,1,1,0,NA,0.996277365223262,0.996277365223262,NA,0.5,0.5,9.247
0.15,1,101,0.995409343231825,0.996277365223262,0,0,0,1,1,0,NA,0.996277365223262,0.996277365223262,NA,0.5,0.5,11.225
0.15,1,121,0.995409343231825,0.996277365223262,0,0,0,1,1,0,NA,0.996277365223262,0.996277365223262,NA,0.5,0.5,13.365
0.15,1,141,0.995409343231825,0.996277365223262,0,0,0,1,1,0,NA,0.996277365223262,0.996277365223262,NA,0.5,0.5,15.52
0.15,1,161,0.995409343231825,0.996277365223262,0,0,0,1,1,0,NA,0.996277365223262,0.996277365223262,NA,0.5,0.5,17.526
0.15,1,181,0.995409343231825,0.996287009354808,0.00259067357512953,0.00259067357512953,0.00259067357512953,1,1,0.00259067357512953,1,0.996286973545892,0.996286973545892,1,0.501295336787565,0.501295336787565,19.9
0.15,1,201,0.995409343231825,0.996296653486354,0.00518134715025907,0.00518134715025907,0.00518134715025907,1,1,0.00518134715025907,1,0.996296582053854,0.996296582053854,1,0.50259067357513,0.50259067357513,21.44
0.15,4,1,0.994643972419231,0.992207316249867,0.0265700483091787,0.0265700483091787,0.0265700483091787,0.996078355426878,0.996078355426878,0.0265700483091787,0.0264423076923077,0.996097645999361,0.996097645999361,0.0264423076923077,0.511324201868029,0.511324201868029,1.001
0.15,4,21,0.996939397876633,0.996007214019115,0,0,0,1,1,0,NA,0.996007214019115,0.996007214019115,NA,0.5,0.5,3.26700000000002
0.15,4,41,0.996939397876633,0.996007214019115,0,0,0,1,1,0,NA,0.996007214019115,0.996007214019115,NA,0.5,0.5,5.84200000000001
0.15,4,61,0.996939397876633,0.996007214019115,0,0,0,1,1,0,NA,0.996007214019115,0.996007214019115,NA,0.5,0.5,8.173
0.15,4,81,0.996939397876633,0.996007214019115,0,0,0,1,1,0,NA,0.996007214019115,0.996007214019115,NA,0.5,0.5,10.278
0.15,4,101,0.996939397876633,0.996007214019115,0,0,0,1,1,0,NA,0.996007214019115,0.996007214019115,NA,0.5,0.5,12.651
0.15,4,121,0.996939397876633,0.996007214019115,0,0,0,1,1,0,NA,0.996007214019115,0.996007214019115,NA,0.5,0.5,15.432
0.15,4,141,0.996939397876633,0.996007214019115,0,0,0,1,1,0,NA,0.996007214019115,0.996007214019115,NA,0.5,0.5,17.333
0.15,4,161,0.996939397876633,0.996007214019115,0,0,0,1,1,0,NA,0.996007214019115,0.996007214019115,NA,0.5,0.5,20.006
0.15,4,181,0.996939397876633,0.996007214019115,0,0,0,1,1,0,NA,0.996007214019115,0.996007214019115,NA,0.5,0.5,22.67
0.15,4,201,0.996939397876633,0.996007214019115,0,0,0,1,1,0,NA,0.996007214019115,0.996007214019115,NA,0.5,0.5,24.293
0.15,7,1,0.991692316423162,0.99224544516353,0.0456852791878173,0.0456852791878173,0.0456852791878173,0.995856206492589,0.995856206492589,0.0456852791878173,0.0403587443946193,0.996357824381266,0.996357824381266,0.0403587443946193,0.520770742840203,0.520770742840203,1.08600000000001
0.15,7,21,0.995846113408513,0.996113077613063,0.0126903553299492,0.0126903553299492,0.0126903553299492,0.999864455352561,0.999864455352561,0.0126903553299492,0.263157894736826,0.996247419497984,0.996247419497984,0.263157894736826,0.506277405341255,0.506277405341255,3.87799999999999
0.15,7,41,0.995900758217256,0.996199882331382,0.0126903553299492,0.0126903553299492,0.0126903553299492,0.999951591197343,0.999951591197343,0.0126903553299492,0.500000000000062,0.996247745271098,0.996247745271098,0.500000000000062,0.506320973263646,0.506320973263646,6.64099999999996
0.15,7,61,0.995900758217256,0.996180592393978,0.00761421319796954,0.00761421319796954,0.00761421319796954,0.999951591197343,0.999951591197343,0.00761421319796954,0.375000000000058,0.996228526231516,0.996228526231516,0.375000000000058,0.503782902197656,0.503782902197656,8.98500000000001
0.15,7,81,0.995900758217256,0.996199882331382,0.0101522842639594,0.0101522842639594,0.0101522842639594,0.999961272957875,0.999961272957875,0.0101522842639594,0.499999999999775,0.996238171944479,0.996238171944479,0.499999999999775,0.505056778610917,0.505056778610917,11.535
0.15,7,101,0.995900758217256,0.996199882331382,0.00761421319796954,0.00761421319796954,0.00761421319796954,0.999970954718406,0.999970954718406,0.00761421319796954,0.500000000000253,0.99622859898722,0.99622859898722,0.500000000000253,0.503792583958188,0.503792583958188,14.434
0.15,7,121,0.995900758217256,0.996199882331382,0.00761421319796954,0.00761421319796954,0.00761421319796954,0.999970954718406,0.999970954718406,0.00761421319796954,0.500000000000253,0.99622859898722,0.99622859898722,0.500000000000253,0.503792583958188,0.503792583958188,16.759
0.15,7,141,0.995900758217256,0.99619023736268,0.00761421319796954,0.00761421319796954,0.00761421319796954,0.999961272957875,0.999961272957875,0.00761421319796954,0.428571428571208,0.996228562609719,0.996228562609719,0.428571428571208,0.503787743077922,0.503787743077922,19.413
0.15,7,161,0.995900758217256,0.996209527300084,0.00761421319796954,0.00761421319796954,0.00761421319796954,0.999980636478937,0.999980636478937,0.00761421319796954,0.599999999999784,0.996228635364019,0.996228635364019,0.599999999999784,0.503797424838453,0.503797424838453,22.48
0.15,7,181,0.995900758217256,0.99619023736268,0.0050761421319797,0.0050761421319797,0.0050761421319797,0.999970954718406,0.999970954718406,0.0050761421319797,0.400000000000243,0.996218989930167,0.996218989930167,0.400000000000243,0.502523548425193,0.502523548425193,25.343
0.15,7,201,0.995846098474157,0.996199882331382,0,0,0,1,1,0,NA,0.996199882331382,0.996199882331382,NA,0.5,0.5,27.498
0.15,10,1,0.991582399562722,0.993161123543483,0.0225,0.0225,0.0225,0.996920752963049,0.996920752963049,0.0225,0.0275229357798166,0.996216556195268,0.996216556195268,0.0275229357798166,0.509710376481525,0.509710376481525,1.09800000000001
0.15,10,21,0.996173817983055,0.996122385986573,0,0,0,0.999980633666434,0.999980633666434,0,0,0.996141603163885,0.996141603163885,0,0.499990316833217,0.499990316833217,3.726
0.15,10,41,0.996173817983055,0.996132031792577,0,0,0,0.999990316833217,0.999990316833217,0,0,0.996141640381592,0.996141640381592,0,0.499995158416609,0.499995158416609,6.22800000000001
0.15,10,61,0.996173817983055,0.99614167759858,0,0,0,1,1,0,NA,0.99614167759858,0.99614167759858,NA,0.5,0.5,9.10199999999998
0.15,10,81,0.996173817983055,0.99614167759858,0,0,0,1,1,0,NA,0.99614167759858,0.99614167759858,NA,0.5,0.5,11.992
0.15,10,101,0.996173817983055,0.99614167759858,0,0,0,1,1,0,NA,0.99614167759858,0.99614167759858,NA,0.5,0.5,14.542
0.15,10,121,0.996173817983055,0.99614167759858,0,0,0,1,1,0,NA,0.99614167759858,0.99614167759858,NA,0.5,0.5,17.14
0.15,10,141,0.996173817983055,0.99614167759858,0,0,0,1,1,0,NA,0.99614167759858,0.99614167759858,NA,0.5,0.5,19.345
0.15,10,161,0.996173817983055,0.99614167759858,0,0,0,1,1,0,NA,0.99614167759858,0.99614167759858,NA,0.5,0.5,22.0839999999999
0.15,10,181,0.996173817983055,0.99614167759858,0,0,0,1,1,0,NA,0.99614167759858,0.99614167759858,NA,0.5,0.5,25.4119999999999
0.15,10,201,0.996173817983055,0.99614167759858,0,0,0,1,1,0,NA,0.99614167759858,0.99614167759858,NA,0.5,0.5,27.572
0.15,13,1,0.991472228067021,0.99156867095629,0.0205655526992288,0.0205655526992288,0.0205655526992288,0.995226198776048,0.995226198776048,0.0205655526992288,0.0159680638722553,0.996306708026367,0.996306708026367,0.0159680638722553,0.507895875737638,0.507895875737638,1.03699999999992
0.15,13,21,0.995572097451992,0.996257030127049,0.0025706940874036,0.0025706940874036,0.0025706940874036,1,1,0.0025706940874036,1,0.996256994018908,0.996256994018908,1,0.501285347043702,0.501285347043702,3.60900000000004
0.15,13,41,0.995572097451992,0.996247383297479,0,0,0,1,1,0,NA,0.996247383297479,0.996247383297479,NA,0.5,0.5,6.26499999999999
0.15,13,61,0.995572097451992,0.996247383297479,0,0,0,1,1,0,NA,0.996247383297479,0.996247383297479,NA,0.5,0.5,9.23699999999997
0.15,13,81,0.995572097451992,0.996247383297479,0,0,0,1,1,0,NA,0.996247383297479,0.996247383297479,NA,0.5,0.5,11.64
0.15,13,101,0.995572097451992,0.996247383297479,0,0,0,1,1,0,NA,0.996247383297479,0.996247383297479,NA,0.5,0.5,14.1830000000001
0.15,13,121,0.995572097451992,0.996247383297479,0,0,0,1,1,0,NA,0.996247383297479,0.996247383297479,NA,0.5,0.5,16.504
0.15,13,141,0.995572097451992,0.996247383297479,0,0,0,1,1,0,NA,0.996247383297479,0.996247383297479,NA,0.5,0.5,19.615
0.15,13,161,0.995572097451992,0.996247383297479,0,0,0,1,1,0,NA,0.996247383297479,0.996247383297479,NA,0.5,0.5,22.347
0.15,13,181,0.995572097451992,0.996247383297479,0,0,0,1,1,0,NA,0.996247383297479,0.996247383297479,NA,0.5,0.5,25.212
0.15,13,201,0.995572097451992,0.996247383297479,0,0,0,1,1,0,NA,0.996247383297479,0.996247383297479,NA,0.5,0.5,27.5
0.15,16,1,0.993548387096774,0.992378048780488,0.0267639902676399,0.0267639902676399,0.0267639902676399,0.996222284646009,0.996222284646009,0.0267639902676399,0.0274314214463841,0.996125795422627,0.996125795422627,0.0274314214463841,0.511493137456824,0.511493137456824,1.09900000000005
0.15,16,21,0.996774193548387,0.99603465575795,0,0,0,1,1,0,NA,0.99603465575795,0.99603465575795,NA,0.5,0.5,3.572
0.15,16,41,0.996774193548387,0.99603465575795,0,0,0,1,1,0,NA,0.99603465575795,0.99603465575795,NA,0.5,0.5,6.17600000000004
0.15,16,61,0.996774193548387,0.99603465575795,0,0,0,1,1,0,NA,0.99603465575795,0.99603465575795,NA,0.5,0.5,8.62099999999998
0.15,16,81,0.996774193548387,0.99603465575795,0,0,0,1,1,0,NA,0.99603465575795,0.99603465575795,NA,0.5,0.5,11.6949999999999
0.15,16,101,0.996774193548387,0.99603465575795,0,0,0,1,1,0,NA,0.99603465575795,0.99603465575795,NA,0.5,0.5,13.936
0.15,16,121,0.996774193548387,0.99603465575795,0,0,0,1,1,0,NA,0.99603465575795,0.99603465575795,NA,0.5,0.5,16.442
0.15,16,141,0.996774193548387,0.99603465575795,0,0,0,1,1,0,NA,0.99603465575795,0.99603465575795,NA,0.5,0.5,19.0659999999999
0.15,16,161,0.996774193548387,0.99603465575795,0,0,0,1,1,0,NA,0.99603465575795,0.99603465575795,NA,0.5,0.5,22.2189999999999
0.15,16,181,0.996774193548387,0.99603465575795,0,0,0,1,1,0,NA,0.99603465575795,0.99603465575795,NA,0.5,0.5,24.285
0.15,16,201,0.996774193548387,0.99603465575795,0,0,0,1,1,0,NA,0.99603465575795,0.99603465575795,NA,0.5,0.5,26.832
0.15,19,1,0.993219172641012,0.992010189902733,0.0100250626566416,0.0100250626566416,0.0100250626566416,0.995805604796916,0.995805604796916,0.0100250626566416,0.0091533180778032,0.99617229516934,0.99617229516934,0.0091533180778032,0.502915333726779,0.502915333726779,1.16800000000001
0.15,19,21,0.996117484219932,0.996149837887911,0,0,0,1,1,0,NA,0.996149837887911,0.996149837887911,NA,0.5,0.5,3.97699999999998
0.15,19,41,0.996117484219932,0.996149837887911,0,0,0,1,1,0,NA,0.996149837887911,0.996149837887911,NA,0.5,0.5,6.74899999999991
0.15,19,61,0.996117484219932,0.996149837887911,0,0,0,1,1,0,NA,0.996149837887911,0.996149837887911,NA,0.5,0.5,9.72899999999993
0.15,19,81,0.996117484219932,0.996149837887911,0,0,0,1,1,0,NA,0.996149837887911,0.996149837887911,NA,0.5,0.5,12.4849999999999
0.15,19,101,0.996117484219932,0.996149837887911,0,0,0,1,1,0,NA,0.996149837887911,0.996149837887911,NA,0.5,0.5,15.2820000000002
0.15,19,121,0.996117484219932,0.996149837887911,0,0,0,1,1,0,NA,0.996149837887911,0.996149837887911,NA,0.5,0.5,17.9779999999998
0.15,19,141,0.996117484219932,0.996149837887911,0,0,0,1,1,0,NA,0.996149837887911,0.996149837887911,NA,0.5,0.5,20.933
0.15,19,161,0.996117484219932,0.996149837887911,0,0,0,1,1,0,NA,0.996149837887911,0.996149837887911,NA,0.5,0.5,23.989
0.15,19,181,0.996117484219932,0.996149837887911,0,0,0,1,1,0,NA,0.996149837887911,0.996149837887911,NA,0.5,0.5,26.826
0.15,19,201,0.996117484219932,0.996149837887911,0,0,0,1,1,0,NA,0.996149837887911,0.996149837887911,NA,0.5,0.5,29.7250000000001
0.15,22,1,0.992561835489505,0.992018376072501,0.027431421446384,0.027431421446384,0.027431421446384,0.995765996201992,0.995765996201992,0.027431421446384,0.0245535714285715,0.99621964813648,0.99621964813648,0.0245535714285715,0.511598708824188,0.511598708824188,1.26999999999998
0.15,22,21,0.996226235587875,0.996062270178453,0.0149625935162095,0.0149625935162095,0.0149625935162095,0.999874045653606,0.999874045653606,0.0149625935162095,0.315789473684191,0.996187037859335,0.996187037859335,0.315789473684191,0.507418319584908,0.507418319584908,3.83600000000001
0.15,22,41,0.996280925224189,0.996071921477035,0.0174563591022444,0.0174563591022444,0.0174563591022444,0.999874045653606,0.999874045653606,0.0174563591022444,0.349999999999979,0.996196654214088,0.996196654214088,0.349999999999979,0.508665202377925,0.508665202377925,6.72599999999989
0.15,22,61,0.996280925224189,0.996081572775617,0.0149625935162095,0.0149625935162095,0.0149625935162095,0.999893423245359,0.999893423245359,0.0149625935162095,0.352941176470476,0.996187111471485,0.996187111471485,0.352941176470476,0.507428008380784,0.507428008380784,9.56200000000013
0.15,22,81,0.996280925224189,0.996120177969946,0.00748129675810474,0.00748129675810474,0.00748129675810474,0.999961244816494,0.999961244816494,0.00748129675810474,0.428571428571244,0.996158523637627,0.996158523637627,0.428571428571244,0.503721270787299,0.503721270787299,12.2550000000001
0.15,22,101,0.996280925224189,0.996110526671364,0.00748129675810474,0.00748129675810474,0.00748129675810474,0.999951556020618,0.999951556020618,0.00748129675810474,0.375000000000226,0.996158486559529,0.996158486559529,0.375000000000226,0.503716426389361,0.503716426389361,14.683
0.15,22,121,0.996280925224189,0.996110526671364,0.00748129675810474,0.00748129675810474,0.00748129675810474,0.999951556020618,0.999951556020618,0.00748129675810474,0.375000000000226,0.996158486559529,0.996158486559529,0.375000000000226,0.503716426389361,0.503716426389361,17.6320000000001
0.15,22,141,0.996280925224189,0.996062270178453,0.00997506234413965,0.00997506234413965,0.00997506234413965,0.999893423245359,0.999893423245359,0.00997506234413965,0.26666666666657,0.996167879688797,0.996167879688797,0.26666666666657,0.504934242794749,0.504934242794749,20.9390000000001
0.15,22,161,0.996280925224189,0.996062270178453,0.00997506234413965,0.00997506234413965,0.00997506234413965,0.999893423245359,0.999893423245359,0.00997506234413965,0.26666666666657,0.996167879688797,0.996167879688797,0.26666666666657,0.504934242794749,0.504934242794749,23.7420000000002
0.15,22,181,0.996280925224189,0.996071921477035,0.00997506234413965,0.00997506234413965,0.00997506234413965,0.999903112041235,0.999903112041235,0.00997506234413965,0.285714285714249,0.996167916678732,0.996167916678732,0.285714285714249,0.504939087192688,0.504939087192688,26.896
0.15,22,201,0.996280925224189,0.996120177969946,0.00748129675810474,0.00748129675810474,0.00748129675810474,0.999961244816494,0.999961244816494,0.00748129675810474,0.428571428571244,0.996158523637627,0.996158523637627,0.428571428571244,0.503721270787299,0.503721270787299,28.9280000000001
0.25,1,1,0.992354135685624,0.991654178926528,0.0336134453781513,0.0336134453781513,0.0336134453781513,0.99540992247381,0.99540992247381,0.0336134453781513,0.0279069767441861,0.996208499554911,0.996208499554911,0.0279069767441861,0.514511683925981,0.514511683925981,1.90300000000002
0.25,1,21,0.996324737939533,0.996095074543605,0.00280112044817927,0.00280112044817927,0.00280112044817927,0.999989018953287,0.999989018953287,0.00280112044817927,0.499999999999916,0.996105927522123,0.996105927522123,0.499999999999916,0.501395069700733,0.501395069700733,8.28500000000008
0.25,1,41,0.996291929540583,0.996095074543605,0,0,0,1,1,0,NA,0.996095074543605,0.996095074543605,NA,0.5,0.5,14.338
0.25,1,61,0.996291940308026,0.99610601271015,0.0224089635854342,0.0224089635854342,0.0224089635854342,0.999923132673006,0.999923132673006,0.0224089635854342,0.53333333333325,0.996181953439524,0.996181953439524,0.53333333333325,0.51116604812922,0.51116604812922,22.8040000000001
0.25,1,81,0.996291929540583,0.996095074543605,0,0,0,1,1,0,NA,0.996095074543605,0.996095074543605,NA,0.5,0.5,27.0330000000001
