"porcentagem","horas","ntrees","acuracia_total_treino","acuracia_total_teste","acuracia_nevoa","acuracia_visivel","sens_nevoa","sens_visivel","spec_nevoa","spec_visivel","ppv_nevoa","ppv_visivel","npv_nevoa","npv_visivel","bal_acc_nevoa","bal_acc_visivel","runtime_sec"
0.15,1,1,0.992239690440668,0.993615584916578,0.208333333333333,0.208333333333333,0.208333333333333,0.996351495209523,0.996351495209523,0.208333333333333,0.165929203539825,0.997239388597222,0.997239388597222,0.165929203539825,0.602342414271428,0.602342414271428,3.802
0.15,1,21,0.995464062712348,0.996769215932105,0.172222222222222,0.172222222222222,0.172222222222222,0.99964192393303,0.99964192393303,0.172222222222222,0.626262626262618,0.997123302217374,0.997123302217374,0.626262626262618,0.585932073077626,0.585932073077626,3.533
0.15,1,41,0.995518752324159,0.996778860063651,0.205555555555556,0.205555555555556,0.205555555555556,0.999535468886093,0.999535468886093,0.205555555555556,0.606557377049194,0.997238529275452,0.997238529275452,0.606557377049194,0.602545512220824,0.602545512220824,5.947
0.15,1,61,0.995409447772317,0.996788504195197,0.2,0.2,0.2,0.999564502080712,0.999564502080712,0.2,0.615384615384591,0.997219352533962,0.997219352533962,0.615384615384591,0.599782251040356,0.599782251040356,8.753
0.15,1,81,0.995409432837961,0.996856013116019,0.180555555555556,0.180555555555556,0.180555555555556,0.999699990322268,0.999699990322268,0.180555555555556,0.677083333333302,0.99715234473039,0.99715234473039,0.677083333333302,0.590127772938912,0.590127772938912,10.447
0.15,1,101,0.995354743226149,0.996778860063651,0.2,0.2,0.2,0.999554824349173,0.999554824349173,0.2,0.610169491525412,0.997219325686479,0.997219325686479,0.610169491525412,0.599777412174586,0.599777412174586,13.672
0.15,1,121,0.995354773094862,0.996798148326743,0.183333333333333,0.183333333333333,0.183333333333333,0.99963224620149,0.99963224620149,0.183333333333333,0.634615384615392,0.997161778618732,0.997161778618732,0.634615384615392,0.591482789767412,0.591482789767412,15.312
0.15,1,141,0.995409402969249,0.996817436589835,0.2,0.2,0.2,0.999593535275331,0.999593535275331,0.2,0.631578947368418,0.997219433073299,0.997219433073299,0.631578947368418,0.599796767637666,0.599796767637666,18.712
0.15,1,161,0.995300113351762,0.996798148326743,0.197222222222222,0.197222222222222,0.197222222222222,0.999583857543792,0.999583857543792,0.197222222222222,0.62280701754387,0.997209778327026,0.997209778327026,0.62280701754387,0.598403039883007,0.598403039883007,21.013
0.15,1,181,0.995354758160506,0.996817436589835,0.194444444444444,0.194444444444444,0.194444444444444,0.999612890738411,0.999612890738411,0.194444444444444,0.636363636363605,0.997200231704962,0.997200231704962,0.636363636363605,0.597028667591428,0.597028667591428,23.969
0.15,1,201,0.995354728291793,0.996730639405922,0.0638888888888889,0.0638888888888889,0.0638888888888889,0.999980644536921,0.999980644536921,0.0638888888888889,0.92000000000018,0.996749143876911,0.996749143876911,0.92000000000018,0.531934766712905,0.531934766712905,23.521
0.15,4,1,0.989670548105801,0.989564747750441,0.0277777777777778,0.0277777777777778,0.0277777777777778,0.992915694832909,0.992915694832909,0.0277777777777778,0.013477088948787,0.996600126281024,0.996600126281024,0.013477088948787,0.510346736305343,0.510346736305343,1.03399999999999
0.15,4,21,0.994917226331659,0.996489434548208,0,0,0,0.999961287949907,0.999961287949907,0,0,0.996527878244264,0.996527878244264,0,0.499980643974953,0.499980643974953,3.70999999999998
0.15,4,41,0.994698587359262,0.996489434548208,0.00277777777777778,0.00277777777777778,0.00277777777777778,0.999951609937383,0.999951609937383,0.00277777777777778,0.166666666666788,0.996537456235954,0.996537456235954,0.166666666666788,0.501364693857581,0.501364693857581,6.94
0.15,4,61,0.99475329190543,0.996219391051916,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.999670947574206,0.999670947574206,0.00555555555555556,0.0555555555555553,0.996546101822462,0.996546101822462,0.0555555555555553,0.502613251564881,0.502613251564881,9.804
0.15,4,81,0.994753262036718,0.996499078958789,0,0,0,0.99997096596243,0.99997096596243,0,0,0.9965279117318,0.9965279117318,0,0.499985482981215,0.499985482981215,11.911
0.15,4,101,0.99475329190543,0.996325479568316,0.00277777777777778,0.00277777777777778,0.00277777777777778,0.999787083724486,0.999787083724486,0.00277777777777778,0.0434782608695624,0.996536888408705,0.996536888408705,0.0434782608695624,0.501282430751132,0.501282430751132,15.138
0.15,4,121,0.994807921779817,0.996489434548208,0,0,0,0.999961287949907,0.999961287949907,0,0,0.996527878244264,0.996527878244264,0,0.499980643974953,0.499980643974953,17.539
0.15,4,141,0.994862581522916,0.996489434548208,0,0,0,0.999961287949907,0.999961287949907,0,0,0.996527878244264,0.996527878244264,0,0.499980643974953,0.499980643974953,20.089
0.15,4,161,0.994862581522916,0.996499078958789,0,0,0,0.99997096596243,0.99997096596243,0,0,0.9965279117318,0.9965279117318,0,0.499985482981215,0.499985482981215,22.914
0.15,4,181,0.994862596457272,0.996431568084717,0,0,0,0.999903219874766,0.999903219874766,0,0,0.996527677305478,0.996527677305478,0,0.499951609937383,0.499951609937383,27.347
0.15,4,201,0.994862581522916,0.996508723369371,0,0,0,0.999980643974953,0.999980643974953,0,0,0.996527945218691,0.996527945218691,0,0.499990321987477,0.499990321987477,28.15
0.15,7,1,0.989833765682941,0.98913012027276,0.0277777777777778,0.0277777777777778,0.0277777777777778,0.992479747582776,0.992479747582776,0.0277777777777778,0.0127064803049555,0.996598441114156,0.996598441114156,0.0127064803049555,0.510128762680277,0.510128762680277,1.07799999999997
0.15,7,21,0.994534339311556,0.995582604334449,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.999022463971506,0.999022463971506,0.00833333333333333,0.0288461538461543,0.996553288857565,0.996553288857565,0.0288461538461543,0.50367789865242,0.50367789865242,3.88099999999997
0.15,7,41,0.994862252967083,0.995852663458107,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.999303142633153,0.999303142633153,0.00555555555555556,0.0270270270270277,0.996544635015009,0.996544635015009,0.0270270270270277,0.502429349094354,0.502429349094354,6.75
0.15,7,61,0.994752933480885,0.995968403082532,0.00277777777777778,0.00277777777777778,0.00277777777777778,0.999428964102167,0.999428964102167,0.00277777777777778,0.0166666666666681,0.996535451308132,0.996535451308132,0.0166666666666681,0.501103370939972,0.501103370939972,9.80799999999999
