"hrs","acuracia_total_treino","acuracia_total_teste","bal_acc_nevoa","bal_acc_visBaixa","bal_acc_visMedia","bal_acc_visCompleta","runtime_sec"
1,0.905725630844114,0.858815182688897,0.738596880081264,0.797831366353797,0.683631703196029,0.809763522658353,103.72
2,0.906415347173641,0.859603484293091,0.727233243717628,0.801163037340894,0.686697491229342,0.810141179819754,103.924
1,0.90603107664719,0.8596428993733,0.715711673133594,0.797863702436803,0.690985415652726,0.817440062683205,103.015
2,0.873938319046211,0.828892392589673,0.579525711988399,0.723966890590278,0.604293759447955,0.723003417622428,105.623000000001
3,0.867177723694193,0.820023649980292,0.568043620282426,0.701614482625096,0.58485911026808,0.691529628775031,106.23
4,0.863166088601608,0.817225068979109,0.624940772328832,0.682158533345857,0.577270250925934,0.674145117885662,106.418000000001
5,0.859095253579276,0.815490737091052,0.579486226874287,0.671608724064056,0.572227327393264,0.661292471655664,105.35
6,0.857014760656642,0.815451320457233,0.659011938862685,0.668984790761918,0.57160115331687,0.661255472265818,106.011
7,0.854540079814751,0.815017737485219,0.659011938862685,0.65911027447014,0.571160493475772,0.650688648340533,105.914
8,0.853671514721532,0.812100906582578,0.556640498804678,0.651739191963949,0.56460178875254,0.648302075576075,105.98
9,0.852329946887656,0.813243988963342,0.647628559941993,0.65253437160836,0.565308451158874,0.64070096577377,106.067
10,0.851017914507006,0.81344107213244,0.602154271930391,0.647134325921288,0.563343595630696,0.637826449540793,104.894
11,0.851993456967738,0.810832117939217,0.613458673606749,0.639991676248163,0.561147059042847,0.632367291563069,104.965
12,0.849085050403524,0.809688990500217,0.613478416943372,0.632719046841005,0.558266931201867,0.623678818637821,104.121
13,0.847971541470817,0.809366130558184,0.590810370327824,0.629049463314002,0.562784021275401,0.623550303115952,104.137
14,0.848738667717777,0.808971933144119,0.647608808029753,0.63313245446168,0.556674426265743,0.623449525239578,106.022
15,0.846756471782339,0.806646168401135,0.590731393862811,0.620568063850371,0.554483373473046,0.61740039444136,105.622
16,0.846863359545911,0.80625197098707,0.602233239040221,0.619805948406895,0.552876080744554,0.614103684815249,105.059
17,0.84544280970072,0.807198044780826,0.590869602676584,0.619816935819826,0.55563207424923,0.613435274406324,105.366
18,0.843373375247593,0.805810698939567,0.545415055662657,0.617051197806388,0.551823481853838,0.612538279457007,103.762
19,0.842977649887658,0.804470374896519,0.556798436922237,0.608079931278354,0.552943428580452,0.606651657510963,104.192999999999
20,0.843035230352304,0.804628060078054,0.556758947130349,0.611335042360621,0.553502151971689,0.609707060736137,105.208000000001
21,0.842767605495004,0.805574171167265,0.579486219857621,0.611651464796832,0.553125070001967,0.605566461675162,105.585
22,0.84213534634829,0.804233847124217,0.590810366429369,0.604715473096792,0.547673129676679,0.604218012562335,103.801
23,0.841524346377854,0.80347709532445,0.545415054103151,0.606392143338542,0.545273869155413,0.602902910865885,105.057000000001
24,0.841621333964049,0.805842466293464,0.568122581154727,0.609158021655581,0.548147691609198,0.601302234669513,105.914
25,0.841432527520178,0.802136718442009,0.602213490245636,0.599119194216933,0.545658475364461,0.597104037438729,102.653
26,0.841568936631517,0.804738626507924,0.61359687228497,0.605260097794154,0.54915238254927,0.599859869277124,105.374000000001
27,0.839547053779972,0.805724197745013,0.590909090909091,0.607525090307909,0.551537571003205,0.60349795814594,104.613
28,0.839724447860923,0.804100137985413,0.602173994995171,0.602016059910305,0.549631842250991,0.599353692336397,106.984
29,0.839811566208066,0.804652079637295,0.590869597998068,0.605826351011865,0.546353512461495,0.598938993715647,105.098
30,0.839258083909054,0.805874236152178,0.670375559632501,0.60725312553885,0.548987977941328,0.601149817910907,105.553
31,0.839000256243471,0.803627045140942,0.533972430357842,0.600600301276567,0.548781226624473,0.60111001836459,102.960000000001
32,0.841097915537377,0.805558840922531,0.602173994995171,0.603615924589702,0.551001130076679,0.6052300677582,103.167000000001
33,0.840091066782307,0.804691504041001,0.624940760633466,0.601406471748939,0.548588381618436,0.596488937054121,105.266
34,0.839923519672002,0.80657624980287,0.590889343673704,0.609321097694515,0.553779506705016,0.603219830449189,106.164000000001
35,0.840326030178489,0.802633653997792,0.534051414620135,0.599881039395362,0.547803895307214,0.597596400010983,105.611000000001
36,0.83959511935503,0.8030279135783,0.568162070946431,0.596484778049557,0.547222629087074,0.594365622000076,105.466999999999
37,0.840431298725619,0.80657624980287,0.624901263823065,0.607427255109763,0.553711850758058,0.600049990874041,104.822
38,0.839838359944806,0.807325343005835,0.602213485566566,0.611793272832709,0.550160411480376,0.599496860831545,105.697
39,0.839384979302188,0.80317785750897,0.613537623559741,0.596919550753273,0.547654714071334,0.594731455518258,104.666000000001
40,0.839117278900837,0.804478965422072,0.602233231242078,0.604693933240609,0.548698085191713,0.597938975661492,105.781000000001
41,0.839815490153561,0.803650987659189,0.57952570653013,0.601492437444016,0.550554642746502,0.598518157981798,105.087
42,0.839616783464916,0.803729842684225,0.590889342893766,0.603921076632547,0.547358968175902,0.59355502199737,103.543
43,0.838836539977922,0.804715530497181,0.545434797439221,0.60382260110902,0.549190415829847,0.600403491063815,685.504999999999
44,0.837801608579088,0.804234681807428,0.568162069386495,0.596876333496309,0.549147618505607,0.596855799662695,104.138000000001
45,0.838618106549702,0.80443182714297,0.534051411500262,0.599141134837647,0.549781702121774,0.592876316111227,104.782999999999
46,0.837147869970627,0.801829508713824,0.556778684227535,0.593696895122468,0.546193628572878,0.592519676559696,106.33
47,0.8373434003923,0.806087847961517,0.545415047863898,0.606577636634095,0.549938294667969,0.595921456088751,105.18
48,0.838071206087608,0.804983834082486,0.579486208159484,0.6081018333402,0.547897449279845,0.595779374624739,104.059000000001
49,0.837903639159405,0.806159063128426,0.636264888486716,0.605020736571323,0.548328346313768,0.59503840387966,104.844999999999
50,0.838562458723916,0.805567603801112,0.590790593456786,0.606599250269332,0.546552962074314,0.598460446065457,105.214
51,0.836431739773287,0.805291589448366,0.613478367033291,0.605434157040235,0.545301514398546,0.598056706735278,105.689
52,0.837721416672417,0.805567603801112,0.602154229820422,0.605934746267864,0.548702733040055,0.59895188243171,106.349
53,0.837384669978708,0.804897283230157,0.670296548851472,0.602897418131333,0.544093884097555,0.5965287105189,103.603999999999
54,0.837708360030361,0.803714364575529,0.590830092607554,0.598825434336283,0.545101104477575,0.592763046548454,104.219999999999
55,0.83899967470699,0.804298107255521,0.636324135652624,0.604878415470507,0.544072391800922,0.595591218503081,104.612000000001
56,0.839904974074877,0.806230283911672,0.693102816759793,0.606631595551213,0.549504119365185,0.600871823588857,103.480000000001
57,0.838562768002366,0.804416403785489,0.579486203478935,0.602091228913244,0.545990115377207,0.598547938387253,104.603000000001
58,0.837733133551516,0.80532334384858,0.647668021660754,0.597725207391432,0.548995728704654,0.597502036570052,101.6
59,0.838727166980472,0.803470031545741,0.624940748933481,0.593675019585423,0.547112718701338,0.594443079810175,103.769
60,0.838530011927881,0.804566426120904,0.579486201138384,0.603386904293235,0.544024433806255,0.596692149243794,104.663
