"ntrees","horas","RMSE_treino","Rsquared_treino","MAE_treino","RMSE_teste","Rsquared_teste","MAE_teste","runtime_sec"
1,1,1372.75744589333,0.367683639903992,783.164270237496,1417.56754487779,0.306830453822929,846.585584131056,26.001
21,1,1115.2227734675,0.581145334322383,580.763143738468,1103.98090728325,0.575713460888316,568.97951870265,202.118
41,1,1102.53299015596,0.590165439578896,584.049096518197,1087.86058316882,0.58782405085067,570.597192329469,368.961
61,1,1098.8055216546,0.592932784538541,583.031667749395,1085.40242683946,0.589755715099261,569.827855284403,541.575
81,1,1096.7565188228,0.594472720269969,582.418505456647,1083.16066922148,0.591506170413877,569.15091068188,718.2
101,1,1095.34355816626,0.5955301384001,582.040973533643,1082.70031312409,0.591886075104783,569.335275678392,906.454
121,1,1094.71444789285,0.596002683331233,581.947967757109,1081.90440093891,0.592494734379692,568.643417542032,1072.12
141,1,1093.89512504791,0.596617962807828,581.699169925492,1080.99347331392,0.593203627273238,568.301543969713,1247.455
161,1,1093.33951675582,0.596974681996124,575.238891482075,1083.10959811151,0.591360848802453,562.387313919523,1461.539
181,1,1092.96877475491,0.597240322482277,575.076759832389,1083.01826009645,0.591428400206651,562.411914360516,1641.874
201,1,1092.70995095781,0.597506652351577,581.275118902048,1080.11561482377,0.593907953717967,568.218099506652,1775.855
1,3,1587.71863060592,0.160470651667823,995.748580919249,1577.62933668064,0.162853457713989,969.113505059365,20.0920000000006
21,3,1362.10091290464,0.372783314975953,813.238195931361,1355.21986606629,0.372480326440637,804.17245044531,198.267
41,3,1347.10273748453,0.386375230339567,810.366272164103,1342.61499909151,0.383911996458131,801.805914977012,380.688
61,3,1342.02593718121,0.391156129084428,809.020808594498,1337.04577886492,0.389103429542506,799.854756846539,560.839999999998
81,3,1338.3123586637,0.394651137958535,807.454912238288,1332.61064727269,0.393340554634745,798.390527956355,732.814
101,3,1336.25500933506,0.396642121060289,807.055141438616,1330.23819382172,0.395578985812803,797.172161406587,908.198
121,3,1335.2447682133,0.397629397879528,806.887225470475,1329.24141965201,0.396564318398479,796.806388161784,1102.688
