"hrs","RMSE_treino","Rsquared_treino","MAE_treino","RMSE_teste","Rsquared_teste","MAE_teste","runtime_sec"
1,937.038343366063,0.703008775592912,490.30278197701,1061.38198263984,0.61109345511401,552.62499054091,48.7840000000033
2,1140.76597853718,0.558052967383306,660.534932144128,1295.14434199957,0.430303119828931,746.238515060932,49.768
3,1190.94809351878,0.519827219812628,706.952421591091,1336.75625728425,0.385367855586843,787.838322192022,49.4719999999979
4,1220.05941025418,0.492166504936319,736.724240427025,1378.66308200026,0.365995973494254,825.120771239388,48.9569999999985
5,1245.15804052694,0.474197678058609,762.341196314563,1376.2250874354,0.353203458314235,840.121429121008,49.1849999999977
6,1250.01800011529,0.470297864938391,773.143415725826,1374.59397338301,0.353619314126137,847.909592243732,49.6539999999986
7,1266.55712120017,0.45598675293347,787.89615095804,1399.20424174143,0.331052335778421,868.37712251073,50.2459999999992
8,1281.75357406542,0.442861111407365,803.778530649922,1403.97084854261,0.326467086549767,885.870979782104,49.2800000000025
9,1280.89892940539,0.442282746621586,807.304026184365,1429.80049563119,0.308072054511922,897.349567304021,50.5750000000007
10,1285.02340384343,0.438777408493909,812.085167355546,1434.64635779342,0.302949075553212,902.786442243974,49.5610000000015
11,1297.3219561366,0.430719546206017,824.203722497972,1425.14241090892,0.298657555249919,899.624884930291,49.0500000000029
12,1308.2537694061,0.41513129932021,830.606930883616,1466.48908330349,0.287034405712838,924.953925024866,48.7999999999993
13,1318.4735524117,0.411722319541439,842.414352255652,1440.03239179554,0.285447340267064,916.673848261549,49.507999999998
14,1324.43138154927,0.403467187598814,848.829272882322,1469.5691804229,0.270452865625577,934.383615751045,49.1539999999986
15,1332.4471132546,0.394409672672836,855.720207876346,1478.0012006953,0.270735929134098,946.541614231445,49.9339999999975
16,1325.56713103163,0.401525666864277,855.672576115765,1458.58069341484,0.285719428394341,931.923086224271,50.1090000000004
17,1348.55969668216,0.385682283802962,871.055168729571,1458.8953076153,0.261240315838968,942.674170406903,48.6200000000026
18,1355.85643369671,0.377991851328252,876.19407090989,1461.05490047671,0.264077735551694,945.237689890575,49.2109999999993
19,1347.37305598216,0.379219409968607,874.101032186932,1487.61728205728,0.268455775989043,954.277420435505,48.8780000000006
20,1345.62113069146,0.382384769165662,872.676369244722,1487.00032071007,0.261861679551362,959.160593814978,48.8590000000004
21,1354.14241211184,0.377034111049694,881.39660529164,1481.05216057545,0.256174635196235,957.459795748733,49.1499999999978
22,1349.25480828406,0.379168840205146,878.586150495083,1497.57946178734,0.250813101359,964.280593299445,48.4559999999983
23,1334.65242369135,0.392738378289989,868.081407731527,1482.66359913575,0.264728845086323,957.076628204702,49.1729999999989
24,1344.45176953728,0.380924349595478,874.595617080287,1501.45492680005,0.259315911067389,970.760662963059,48.8950000000004
25,1348.81086095176,0.380314228620332,878.996537670098,1489.67637403093,0.255322296815152,962.308352448443,49.5930000000008
26,1351.29937636632,0.377348000602167,881.792253045603,1496.79716359756,0.251392310426937,971.562014471203,49.2539999999972
27,1349.02910036825,0.380171023122327,883.619872180684,1482.76934949252,0.261978817145187,968.082956726505,48.8369999999995
28,1347.45130660697,0.380296894115499,883.455638380178,1484.06563939267,0.266876180844332,967.37997347378,49.9470000000001
29,1350.67442724325,0.380556892192097,885.281494226043,1475.36075794608,0.260463632325138,957.294846526045,48.6179999999986
30,1356.36265950858,0.374354944476042,890.037258811729,1475.26675590372,0.265156917319958,965.58741859926,48.6330000000016
31,1354.14634558785,0.378635330693646,890.197425596253,1479.85947100252,0.249869238576046,968.761996258211,48.8810000000012
32,1346.89607028088,0.381966746892939,888.342422913652,1485.01441138132,0.260645461597399,969.325603159972,49.7060000000019
33,1355.70384826563,0.374936169663078,893.79124242171,1481.39922783066,0.259231293915771,970.844653174017,48.8110000000015
34,1366.18145172608,0.365071726338923,900.050361605178,1487.91430234681,0.253492938823603,973.562743823009,48.3510000000024
35,1357.18681961124,0.370569617808109,894.028715299792,1498.53100073448,0.256043285519161,979.059228283669,48.2979999999989
36,1356.22633413424,0.373654274197538,894.257989998849,1492.92734638956,0.251524273240343,972.992258078065,48.4259999999995
37,1356.2447110144,0.378078072355903,891.389760075409,1460.26119526112,0.263185827629643,961.009185905314,48.2669999999998
38,1366.84042070772,0.36735201117286,900.299388939301,1465.03489599782,0.263005168324946,965.237607733728,48.5400000000009
39,1359.32728513725,0.375573120572938,896.773731119419,1470.64767984559,0.2509832991532,961.607680381085,48.4529999999977
40,1351.85057258938,0.379536086161932,890.690171730841,1478.59268143833,0.257200702323703,968.317119883683,48.6289999999972
41,1345.2858352113,0.382106824326461,883.204270756747,1490.31994349421,0.261647614017019,976.201200711795,49.0829999999987
42,1365.91171244191,0.36339654476171,902.405585821561,1498.17075362403,0.252309174865041,985.165301664792,48.5479999999989
43,1363.8513244995,0.365579647158089,899.804614240968,1495.79856150809,0.253448531125265,978.579707948366,48.4149999999972
44,1363.27800182916,0.366001367167291,899.279311805012,1504.25566274756,0.24556893469269,981.704687431659,48.7849999999999
