"kfolds","hrs","ntrees","acuracia_total_treino","acuracia_total_teste","bal_acc_nevoa","bal_acc_visBaixa","bal_acc_visMedia","bal_acc_visCompleta","runtime_sec"
5,1,1,0.805358436479815,0.798604816143144,0.4999605211212,0.646642177643285,0.506452304322495,0.599767995429281,22.3760000000002
5,1,21,0.846998210861043,0.846687423639302,0.592964037495754,0.776139076939249,0.668478985944024,0.791142934676829,140.488
5,1,41,0.849461532985741,0.850234501241477,0.604572205033098,0.779612326088865,0.675293668833416,0.793285621294834,267.76
5,1,61,0.850722767202622,0.8511409766287,0.604572205033098,0.777727214964049,0.677809080548626,0.795798020141023,382.106
5,1,81,0.851284401318969,0.85240215977614,0.604572205033098,0.7796436621766,0.680208597675481,0.795924164560075,502.823
5,1,101,0.851333659975221,0.852126275962637,0.604572205033098,0.780814290200888,0.678434805064575,0.79569580680147,626.616
5,1,121,0.85153072275497,0.852126275962637,0.604572205033098,0.781173935476375,0.677947828280265,0.796076557566324,732.019
5,1,141,0.851865743752082,0.85240215977614,0.604572205033098,0.778586447536985,0.678966942847847,0.795986773268061,866.745
5,1,161,0.852033249396373,0.85255980766957,0.604572205033098,0.78"0155355760007,0.678812144086237,0.796799381467545,973.738
5,1,181,0.851924856081291,0.852914515429788,0.604572205033098,0.780498087299092,0.679012103846808,0.797065489851557,1098.166
5,1,201,0.852230307321856,0.852678043589642,0.604572205033098,0.779843960308656,0.67984730968379,0.796482166413757,1235.675
5,5,1,0.775355980708951,0.777234746965158,0.510579067862469,0.524546341536074,0.50304478916786,0.522438823129258,16.7800000000007
5,5,21,0.802965955368395,0.809238530663724,0.55313225935183,0.651195493212129,0.581853809480297,0.664722707467603,146.242999999999
5,5,41,0.807242466912222,0.81199747753429,0.542533448152738,0.651154549694597,0.582225440539475,0.660942359062215,276.147000000001
5,5,61,0.808395332085109,0.81416522150402,0.553171746025078,0.65418669736536,0.580758191186712,0.661343741782598,395.271999999999
5,5,81,0.809341268669508,0.816884754847864,0.574389111759887,0.667251804841546,0.58887481657618,0.671536249610722,589.978999999999
5,5,101,0.810080289772581,0.817436544221977,0.563770557224171,0.667063734818749,0.588275847792356,0.670632226727126,722.172
5,5,121,0.810425173180901,0.816884754847864,0.563770557224171,0.665826567020039,0.586846399805404,0.668218405798029,871.938
5,5,141,0.810484302015617,0.817791265962478,0.563770557224171,0.667071410587417,0.587339935680065,0.669157012630152,1012.075
5,5,161,0.810494157144973,0.817673025382311,0.563770557224171,0.666897414328336,0.58729606237279,0.669106377154938,1161.576
5,5,181,0.811105091665688,0.817791265962478,0.574408855096511,0.667924762571864,0.587520286462337,0.669094026709578,1302.488
5,5,201,0.811114939513,0.818067160649535,0.574408855096511,0.66948817335635,0.588860773446445,0.669132928586321,1462.697
5,9,1,0.772363570346344,0.773915099917228,0.5,0.516969582267084,0.505609646064223,0.520847316253427,17.1949999999997
5,9,21,0.798722928154718,0.804974183122463,0.519960507088978,0.631700136987341,0.580644866817051,0.64628964523128,160.254999999997
5,9,41,0.802319621227168,0.809901068148674,0.519980253544489,0.638889743427448,0.57962279371775,0.646513044251568,303.315999999999
5,9,61,0.804250995018883,0.811241180875803,0.539980253544489,0.640709987313695,0.577578887005897,0.644532834578117,454.404999999999
5,9,81,0.805137860056694,0.811950652319577,0.529960507088978,0.643068535228722,0.575397930479476,0.644032290533993,600.056
5,9,101,0.805581298158494,0.812344803121674,0.529960507088978,0.643687993812248,0.57513591084376,0.642400803042318,742.389999999999
5,9,121,0.806034581194186,0.811753576918529,0.529960507088978,0.641671766880276,0.574289212482759,0.641153253585893,890.577000000001
5,9,141,0.806034571969241,0.812620708683142,0.529980253544489,0.641546723839165,0.574783675140562,0.641888155098754,1038.026
5,9,161,0.806389316333709,0.812699538843561,0.529980253544489,0.642649950516998,0.573891868745821,0.64178584467901,1190.15
5,9,181,0.80649771062017,0.812699538843561,0.529980253544489,0.642802045076358,0.574358600246716,0.641684630104112,1332.578
5,9,201,0.806497710620122,0.812975444405029,0.539980253544489,0.643269409100525,0.574270109892581,0.641989369673653,1476.396
5,13,1,0.772829848714512,0.771383523847063,0.5,0.503779406357412,0.50135554617821,0.505133658668241,17.0339999999997
5,13,21,0.798224280646433,0.80670082774931,0.531230254324303,0.630164988515954,0.585222348093864,0.652594357188862,166.093999999997
5,13,41,0.801840796128605,0.809105242412298,0.520813587657636,0.630248720377815,0.582017902843233,0.646085597331835,312.079000000002
5,13,61,0.803466762377517,0.809262908947576,0.520813587657636,0.631961826588607,0.580195137241991,0.642808514755126,462.496999999999
5,13,81,0.803920052209803,0.810524241229799,0.531210508648606,0.631693816512246,0.580540632857603,0.641486094435812,607.405999999999
5,13,101,0.804836504969128,0.811233740638549,0.531230254324303,0.631198416440657,0.583841365618726,0.641599473606031,769.146000000001
5,13,121,0.805122275564319,0.811154907370911,0.552063587657636,0.630376048019604,0.581746138686325,0.641427147992959,901.507000000001
5,13,141,0.804875913348663,0.811391407173827,0.552083333333333,0.632375986497928,0.579897239613903,0.642422163054513,1052.118
5,13,161,0.804974463673042,0.811549073709105,0.541666666666667,0.630634647000381,0.580280692494311,0.641194057043764,1193.1
5,13,181,0.804925188025306,0.812022073314939,0.53125,0.632463178057785,0.581999621385086,0.641569562420131,1341.508
5,13,201,0.804944896342216,0.812061489948758,0.53125,0.630753047545787,0.581956297991204,0.641735555424444,1509.078
5,17,1,0.771946066190082,0.779139895147621,0.509803921568627,0.503807999332296,0.501334167477047,0.505276230257004,16.9789999999994
5,17,21,0.797498909024218,0.809176554062044,0.558764283025794,0.629400224668767,0.585541053616572,0.645212374567398,163.428999999996
5,17,41,0.802268521279513,0.812763609129252,0.568587953389745,0.634004742061008,0.58086195134987,0.638029816749976,315.580999999998
5,17,61,0.802830259780094,0.814182663881115,0.529372267115235,0.634468898535395,0.579799748590052,0.636221377355849,462.404000000002
