"porcentagem","acuracia_total_treino","acuracia_total_teste","acuracia_nevoa","acuracia_neblina","acuracia_visivel","runtime_sec"
0.05,0.92462880888064,0.923794001483245,0.60310857235556,0.861058602769409,0.863848082426462,5.45900000000074
0.1,0.92438058553501,0.925358869095841,0.60310857235556,0.861058602769409,0.863848082426462,8.52800000000025
0.15,0.923316201647427,0.925083850572497,0.60310857235556,0.861058602769409,0.863848082426462,15.7620000000006
0.2,0.923606214577063,0.924507434563552,0.60310857235556,0.861058602769409,0.863848082426462,26.0439999999999
0.25,0.925022713529106,0.925078373330129,0.60310857235556,0.861058602769409,0.863848082426462,34.6900000000005
0.3,0.925748848875702,0.925403178615734,0.60310857235556,0.861058602769409,0.863848082426462,44.6000000000004
0.35,0.925729235430757,0.925450260262405,0.60310857235556,0.861058602769409,0.863848082426462,54.7399999999998
0.4,0.925613575511425,0.925067245593195,0.60310857235556,0.861058602769409,0.863848082426462,66.6259999999984
0.45,0.924902996667317,0.925137035271687,0.60310857235556,0.861058602769409,0.863848082426462,82.6090000000004
0.5,0.925940542268387,0.925286320515131,0.60310857235556,0.861058602769409,0.863848082426462,89.8460000000014
0.55,0.92626794390283,0.925086473693792,0.60310857235556,0.861058602769409,0.863848082426462,103.081
0.6,0.926186860983788,0.924445991889567,0.60310857235556,0.861058602769409,0.863848082426462,113.709999999999
0.65,0.926054312562858,0.925684057767479,0.60310857235556,0.861058602769409,0.863848082426462,125.849
0.7,0.92484051525686,0.92599672310213,0.60310857235556,0.861058602769409,0.863848082426462,140.754000000001
0.75,0.925754821972785,0.92649998361569,0.60310857235556,0.861058602769409,0.863848082426462,147.812
0.8,0.925490510798764,0.927088026870929,0.60310857235556,0.861058602769409,0.863848082426462,168.83
