"ntree","Rquad","Rquad_teste","runtime_sec"
1,0.543147759567395,0.536424975430384,5.014
11,0.692185905565195,0.706974817537036,7.12
21,0.702769771307342,0.717478559832477,12.435
31,0.706512374117798,0.720979154495232,17.103
41,0.70788726818431,0.722490192348155,22.535
51,0.709624033882794,0.723698679307997,27.669
61,0.710881245824943,0.724325642785941,32.45
71,0.711293065536182,0.724856913942048,38.926
81,0.712046687489819,0.725274886852218,42.834
91,0.712635241355351,0.725670659370792,48.055
101,0.712975420155369,0.726021226599528,53.3939999999999
111,0.713542966694481,0.726162802470719,57.403
121,0.713940588347699,0.726206947992192,63.424
131,0.71400310210748,0.726321203152282,69.1999999999999
141,0.714277224408855,0.72640652585342,73.607
151,0.714616938111309,0.726374604575178,80.749
161,0.714783875273116,0.726585450345603,85.7040000000001
171,0.714802051263275,0.726616611952369,91.717
181,0.714891046187171,0.726662295969591,97.405
191,0.714956265590429,0.726736936367912,100.225
201,0.714860028777499,0.726863125836704,108.323
