"ntrees","horas","RMSE_treino","Rsquared_treino","MAE_treino","RMSE_teste","Rsquared_teste","MAE_teste","runtime_sec"
1,2,2474.38600070362,0.0759638037173728,2099.83770642422,2476.26381917657,0.0589739780832576,2092.45334544336,8.016
21,2,2262.54677155374,0.227006567163195,1856.91531786304,2235.26485488934,0.229827288184811,1832.73991800535,46.221
41,2,2236.04663384016,0.243615122751408,1836.53948754442,2211.95914052429,0.244862767360263,1802.1395413973,90.345
61,2,2228.63296186639,0.248568136593557,1831.17053949485,2207.51396501259,0.247738969396478,1797.96797332774,131.653
81,2,2223.48330871204,0.25245041577012,1832.11424109975,2194.5432013582,0.256861516384868,1797.82276095121,164.794
101,2,2219.06670859318,0.255219699489738,1824.91889134879,2197.48203718247,0.254684612199475,1791.75636332459,219.603
121,2,2217.58014618824,0.256292041937174,1823.63502578021,2195.23273921832,0.256284547411684,1789.49236252863,262.626
141,2,2216.72310633742,0.256909928633226,1822.66872695698,2192.68288542113,0.258085226370305,1787.61058418069,309.123
161,2,2214.61356757778,0.25844563339533,1821.60413692313,2191.4952987976,0.258947906806271,1788.1427690576,343.854
181,2,2213.8100826728,0.259035445288303,1821.07791646675,2189.33152156754,0.260471768980709,1787.16112526269,384.781
201,2,2213.274935705,0.259445274918623,1821.22966192497,2190.19159836667,0.25986901322458,1787.98435791853,441.046
1,4,2509.60742798561,0.0462017856017196,2141.43092625318,2500.37491118888,0.0439459683941398,2146.76943818795,4.37699999999995
21,4,2278.18928149207,0.213394418505756,1883.59535831958,2304.52102653148,0.189330954595263,1903.88585478133,46.8989999999999
41,4,2250.92646211094,0.232133672326525,1866.87132530428,2271.54370593559,0.210491692938248,1880.15026870608,90.0129999999999
61,4,2239.08210873518,0.241211689046244,1858.11353755394,2261.53010173893,0.21744485515116,1874.1219526,131.763
81,4,2232.89661699671,0.24601658850598,1853.04709111724,2253.44026006983,0.223247595292134,1868.75907713531,175.385
101,4,2231.79158242127,0.247006639757002,1852.37881514161,2248.90174609803,0.226565051045746,1865.49823485173,218.088
121,4,2229.64498391338,0.248808895497169,1850.79082262332,2250.10665071632,0.225733177243631,1867.15010142514,259.356
141,4,2228.90482846294,0.249559403803974,1850.389346598,2248.58037328991,0.226822798949457,1864.89371496752,302.722
161,4,2227.39848773118,0.250779968126187,1849.16805619247,2247.45355608633,0.227681266331016,1863.53130738908,346.369
181,4,2227.15987875694,0.251095529269399,1849.37620827726,2246.79506398476,0.228172349452606,1862.4445172769,383.653
201,4,2226.09055218578,0.251972162231917,1848.37370358115,2244.49264664852,0.229866693687041,1859.76608170697,432.725
1,6,2522.9605181962,0.037757456069427,2150.68353441827,2500.27817411083,0.0432487292527035,2138.69983645932,4.20499999999993
21,6,2264.35659833883,0.222798053163576,1872.62507554229,2252.89423104871,0.220710522858355,1848.37527362113,46.1809999999996
41,6,2241.12087000217,0.239187411003394,1859.39313006637,2216.62294488024,0.246431652346835,1820.63930958639,87.7389999999996
61,6,2229.85041120624,0.247921382050615,1852.57976448215,2208.3806247977,0.253502811906849,1819.55324162724,130.503
81,6,2226.06762438726,0.251067771366212,1851.23789345959,2198.98548532031,0.260722801021659,1812.90133923172,173.453
101,6,2222.49016748435,0.253992542777955,1848.33141702463,2198.95384276833,0.261085721487374,1812.84149835481,212.537
121,6,2219.62443907512,0.256386125345706,1846.52926113038,2195.52936740363,0.263802587087834,1809.06674472339,255.83
141,6,2218.00292152437,0.257722081047965,1845.55807066843,2193.55811831713,0.265543251041464,1806.47334368392,296.318
161,6,2216.82005045125,0.258758368608325,1844.72746396178,2193.41468010604,0.265671052185958,1805.06173540154,338.432
181,6,2215.99084622863,0.259510419575454,1845.10891755965,2191.06743027072,0.267596386553129,1802.86621465775,385.709
201,6,2214.64655792504,0.260529740795469,1844.50144052736,2191.22169643229,0.267491962468778,1802.51924720782,423.241
1,8,2520.52132311487,0.0344612165964852,2152.11082805634,2581.97045846363,NA,2214.94672586016,4.3739999999998
21,8,2242.05078423129,0.232786038246235,1848.43281150336,2219.79575639572,0.261403287765885,1826.19538413656,47.2370000000001
41,8,2219.19036605054,0.249671494591735,1835.97487252393,2199.6553790153,0.276522249864844,1817.64605482593,88.1440000000002
61,8,2209.95994926379,0.257185373875363,1830.24024311787,2186.56151580586,0.287266518657286,1809.75976477182,131.276
81,8,2208.94296585733,0.258480078109546,1830.93202483532,2182.06183763129,0.291574183060619,1809.5430267707,172.232
101,8,2204.01237729619,0.262484004855337,1826.54078328294,2176.29560687788,0.296573728331074,1806.0872297637,216.876
121,8,2203.76370272495,0.262854895191335,1827.76707674023,2175.84738408878,0.297382216687952,1807.33662987339,256.785000000001
141,8,2202.08615439678,0.264357245671186,1826.95814751511,2177.2612718442,0.296716428344228,1809.03945993746,299.049
161,8,2200.91528692233,0.265363445757631,1826.33256703562,2177.88897570564,0.296622771822547,1809.26818971736,343.736000000001
181,8,2200.27118777478,0.265932210850121,1825.64045542917,2180.31603957002,0.295016720302759,1811.99560115164,387.625
201,8,2199.01038068647,0.266990145799215,1824.97242831326,2179.93259269483,0.295451014559228,1811.30919841466,426.821
1,10,2523.04215336806,0.0349473841133956,2150.88047382023,2495.91520873885,0.0532947527643241,2123.7017097058,4.60100000000057
21,10,2248.25853410405,0.231950992109058,1848.76348225453,2221.15525139286,0.247489636735053,1817.93090745732,46.7129999999997
41,10,2222.42023261365,0.250567005691941,1835.57613544251,2202.55573760336,0.260233845290202,1807.73459886486,87.496000000001
61,10,2213.53780201867,0.257516675219524,1828.33997619487,2193.20785003248,0.267439894297602,1804.49423136406,129.648999999999
81,10,2210.28177112935,0.260173468914204,1826.06463023975,2189.1360571867,0.270750213587215,1805.23562388384,172.472
101,10,2208.39914748106,0.261896634233412,1825.38063673771,2188.65321011726,0.271270145505038,1804.80830064138,213.146000000001
121,10,2207.08059447563,0.26311866594379,1823.89124280763,2188.51329849437,0.27161358242938,1805.35937678674,257.989
141,10,2205.07254578384,0.264745848535103,1822.41275703068,2186.38091624762,0.273285776151651,1803.87539363932,299.142000000002
161,10,2203.72388032687,0.265913681410738,1821.71491474142,2186.85163363932,0.272976224148757,1804.04378296027,342.589
181,10,2202.69890517424,0.266711557534483,1821.69249050206,2185.94111837406,0.273646602115019,1803.34025678446,383.428
201,10,2201.66513190944,0.267505013621239,1820.85395619131,2184.83244988555,0.274512490537307,1800.97704089615,427.675000000001
1,12,2517.47138320855,0.0387828908291297,2151.88171343251,2525.10311842076,0.0274005180438515,2149.94412891623,4.46700000000055
21,12,2248.53382689075,0.232266293266163,1856.52297910246,2242.75114037198,0.230138823011355,1839.97082254352,46.9050000000007
41,12,2220.7496552982,0.251985077218074,1836.58693909122,2206.79183000141,0.253924910661004,1813.43693199961,87.8360000000011
61,12,2214.32164322452,0.257300466673433,1833.19078809986,2196.30285926213,0.261667375925476,1804.74648358179,131.58
81,12,2210.26193910518,0.260397841548188,1829.27363968945,2192.7481042755,0.264436315071873,1802.56262976639,175.708000000001
101,12,2208.12492446971,0.262109816974773,1828.0476925272,2191.98835485562,0.265184495696714,1802.85659579931,218.43
121,12,2207.34945922717,0.262841110021301,1826.96254658661,2191.64467551719,0.265638867858525,1803.50948114071,260.289000000001
141,12,2207.8005949192,0.262585156684402,1827.70186021618,2189.64964787367,0.267272397540775,1801.72919434267,301.451000000001
161,12,2206.96354276995,0.263233367744129,1827.1321717737,2187.67187019376,0.268829571550557,1800.65897814203,342.248000000001
181,12,2205.93426660624,0.264059171036358,1826.51021139696,2184.68317246879,0.270959151604767,1797.83984959635,390.521999999999
201,12,2205.36851332791,0.26453240002519,1825.69095877109,2183.41978099147,0.271957044018804,1797.21719010687,425.32
1,14,2521.89758507508,0.0316610767422432,2147.97957499756,2564.55511928221,0.0097361414651129,2207.50665850846,4.27299999999923
21,14,2258.99486319356,0.221621516674438,1867.07187710362,2208.27961830209,0.265274530975857,1812.11384162991,46.8410000000003
41,14,2233.41260397645,0.239075947669762,1850.16712775715,2182.55362547018,0.284568850025551,1795.98195705965,87.880000000001
61,14,2221.09824414986,0.248223439179022,1840.62246231123,2177.24637999311,0.288909775680834,1793.33616887209,130.305999999999
81,14,2217.39977008579,0.251146094061909,1839.05504972293,2173.21368017233,0.292265382981078,1792.29501660871,169.907999999999
101,14,2214.71941490722,0.253273432440275,1837.77545554749,2173.53032844886,0.292416856770695,1792.61625708885,218.157000000001
