"porcentagem","acuracia_total_treino","acuracia_total_teste","acuracia_nevoa","acuracia_neblina","acuracia_visivel","runtime_sec"
0.05,0.700767798077961,0.713090798862261,0.125195814401485,0.260823860029652,0.342511021894575,6.319
0.1,0.731361741318409,0.716388496783991,0.206138300179579,0.267249950798799,0.34141884122822,10.07
0.15,0.732032817832012,0.716634533156807,0.215023252617874,0.269857026004838,0.342738169977684,17.665
0.2,0.725332604781455,0.718857647451112,0.219781312320438,0.272016589007101,0.340838313184668,27.395
0.25,0.723347785319067,0.718743924576588,0.217558215773035,0.273651631231914,0.342675161377446,38.376
0.3,0.72171772940535,0.721023525889044,0.24338404381386,0.271911297262525,0.344280238789162,50.512
0.35,0.720328054855654,0.721952986023538,0.231867619241943,0.276612718735576,0.343755126690445,63.093
0.4,0.719392150414371,0.723287646743048,0.267479588973879,0.275206524575152,0.338971618165031,75.124
0.45,0.719945762529449,0.72507916127578,0.261361586721281,0.27270453159974,0.342215560824464,87.819
0.5,0.718437331998272,0.724831480022408,0.234281990959873,0.276220819082405,0.341485180530109,101.25
0.55,0.721231228510193,0.725615314453881,0.263515841131795,0.276965551230618,0.344786708660916,115.167
0.6,0.722995928515742,0.727028060610153,0.258155697613355,0.284663431108515,0.341520172892894,129.949
0.65,0.721740009623417,0.729381177882494,0.241490865528647,0.283864230460941,0.346330907004059,144.033
0.7,0.720718313946817,0.73319217167747,0.23182627359544,0.290662195422921,0.347784470152591,159.094
0.75,0.720200732919403,0.736307476174984,0.199657876976536,0.288207301569788,0.348794635690094,171.406
0.8,0.723845423839694,0.731897885678027,0.0918268101376721,0.28753158255391,0.348111300995819,192.27
