"horas","ntrees","acuracia_total_treino","acuracia_total_teste","acuracia_nevoa","acuracia_visivel","sens_nevoa","sens_visivel","spec_nevoa","spec_visivel","ppv_nevoa","ppv_visivel","npv_nevoa","npv_visivel","bal_acc_nevoa","bal_acc_visivel","runtime_sec"
1,1,0.994294510806069,0.993573138341476,0.14859437751004,0.14859437751004,0.14859437751004,0.9970367931517,0.9970367931517,0.14859437751004,0.170506912442394,0.996511838359906,0.996511838359906,0.170506912442394,0.57281558533087,0.57281558533087,7.286
1,21,0.99670459280666,0.996327507623701,0.192771084337349,0.192771084337349,0.192771084337349,0.999621368013828,0.999621368013828,0.192771084337349,0.676056338028159,0.996700753410042,0.996700753410042,0.676056338028159,0.596196226175589,0.596196226175589,18.74
1,1,0.994294510806069,0.993573138341476,0.14859437751004,0.14859437751004,0.14859437751004,0.9970367931517,0.9970367931517,0.14859437751004,0.170506912442394,0.996511838359906,0.996511838359906,0.170506912442394,0.57281558533087,0.57281558533087,7.418
1,21,0.99670459280666,0.996327507623701,0.192771084337349,0.192771084337349,0.192771084337349,0.999621368013828,0.999621368013828,0.192771084337349,0.676056338028159,0.996700753410042,0.996700753410042,0.676056338028159,0.596196226175589,0.596196226175589,17.909
1,41,0.996819353624416,0.996540643341968,0.204819277108434,0.204819277108434,0.204819277108434,0.999785990616512,0.999785990616512,0.204819277108434,0.796874999999989,0.996750369276219,0.996750369276219,0.796874999999989,0.602302633862473,0.602302633862473,31.445
1,61,0.996802960181572,0.996507853231465,0.200803212851406,0.200803212851406,0.200803212851406,0.999769528356243,0.999769528356243,0.200803212851406,0.781250000000014,0.996733956999836,0.996733956999836,0.781250000000014,0.600286370603825,0.600286370603825,45.234
1,81,0.99678656673917,0.996557038397219,0.21285140562249,0.21285140562249,0.21285140562249,0.999769528356243,0.999769528356243,0.21285140562249,0.791044776119417,0.99678303543585,0.99678303543585,0.791044776119417,0.606310466989367,0.606310466989367,59.484
1,101,0.996819357656361,0.996606223562973,0.21285140562249,0.21285140562249,0.21285140562249,0.999818915137048,0.999818915137048,0.21285140562249,0.828125000000024,0.996783193828984,0.996783193828984,0.828125000000024,0.606335160379769,0.606335160379769,72.974
1,121,0.996802962869903,0.996622618618225,0.21285140562249,0.21285140562249,0.21285140562249,0.999835377397317,0.999835377397317,0.21285140562249,0.841269841269839,0.99678324662323,0.99678324662323,0.841269841269839,0.606343391509903,0.606343391509903,86.964
1,141,0.996819361688307,0.996507853231465,0.204819277108434,0.204819277108434,0.204819277108434,0.999753066095975,0.999753066095975,0.204819277108434,0.77272727272731,0.996750262605042,0.996750262605042,0.77272727272731,0.602286171602204,0.602286171602204,99.671
